track_genre,track_count,avg_popularity,avg_danceability,avg_energy,avg_valence,avg_tempo,avg_duration_min
acoustic,1000,42.48,0.55,0.44,0.42,119.01,3.58
afrobeat,999,24.41,0.67,0.7,0.7,119.24,4.14
alt-rock,999,33.9,0.53,0.75,0.52,124.65,3.92
alternative,407,22.22,0.6,0.68,0.48,119.75,3.44
ambient,999,44.21,0.37,0.24,0.17,111.16,3.95
anime,995,48.78,0.54,0.67,0.43,123.61,3.5
black-metal,996,22.43,0.3,0.88,0.19,128.67,5.18
bluegrass,998,25.68,0.53,0.53,0.63,126.62,3.69
blues,938,31.18,0.57,0.58,0.61,116.99,3.72
brazil,937,44.65,0.56,0.61,0.46,121.74,4.61
breakbeat,997,20.17,0.65,0.85,0.48,133.07,5.29
british,900,44.77,0.5,0.5,0.43,118.17,3.64
cantopop,999,34.75,0.55,0.46,0.39,124.26,3.82
chicago-house,998,12.33,0.77,0.73,0.59,123.91,6.11
children,974,34.86,0.72,0.49,0.69,123.5,2.31
chill,972,53.74,0.67,0.43,0.41,115.38,2.81
classical,867,13.36,0.39,0.2,0.39,108.03,3.93
club,994,33.35,0.6,0.72,0.37,123.29,3.44
comedy,990,24.61,0.58,0.7,0.45,100.81,3.76
country,946,17.35,0.55,0.59,0.51,124.27,3.38
dance,948,23.72,0.69,0.71,0.55,120.29,3.27
dancehall,939,34.96,0.73,0.69,0.63,113.68,3.31
death-metal,901,32.5,0.37,0.93,0.25,123.36,4.1
deep-house,972,45.57,0.71,0.74,0.45,120.75,3.66
detroit-techno,956,11.13,0.72,0.71,0.47,126.41,6.21
disco,928,34,0.67,0.73,0.68,122.22,4.07
disney,998,27.49,0.46,0.3,0.37,112.02,2.6
drum-and-bass,955,26.74,0.53,0.88,0.32,155.15,4.63
dub,933,40.33,0.57,0.71,0.37,129.43,3.86
dubstep,268,39.1,0.53,0.77,0.25,133.37,3.76
edm,694,40.44,0.66,0.75,0.46,121.63,3.18
electro,596,34.33,0.65,0.61,0.46,120.94,3.25
electronic,830,44.23,0.66,0.69,0.4,123.19,3.88
emo,932,48.5,0.6,0.67,0.44,127,3.15
folk,841,40.16,0.56,0.56,0.49,118.06,4.49
forro,998,41.83,0.65,0.79,0.76,140.35,3.18
french,890,41.09,0.66,0.59,0.43,117.85,3.4
funk,767,34.31,0.69,0.61,0.61,118.66,3.43
garage,901,40.61,0.48,0.74,0.52,127.48,3.3
german,731,32.35,0.54,0.57,0.39,119.13,3.56
gospel,672,39.6,0.48,0.58,0.33,124.72,5.03
goth,907,29.02,0.48,0.73,0.45,124.16,4.22
grindcore,985,14.52,0.27,0.93,0.22,119.16,2.21
groove,636,35.52,0.55,0.73,0.4,123.42,4.49
grunge,862,50.59,0.46,0.8,0.4,129.99,3.94
guitar,886,29.37,0.55,0.34,0.45,112.38,3.66
happy,995,21.69,0.55,0.91,0.33,152.96,4.03
hard-rock,709,45.74,0.48,0.81,0.51,126.82,4.13
hardcore,757,37.01,0.55,0.84,0.52,122.82,3.48
hardstyle,898,28.18,0.53,0.9,0.31,146.69,3.73
heavy-metal,997,26.18,0.43,0.87,0.39,126.65,4.2
hip-hop,842,42.43,0.73,0.7,0.55,118.42,3.49
honky-tonk,981,16.41,0.57,0.37,0.63,116.62,2.7
house,210,32.09,0.68,0.74,0.53,122.5,3.09
idm,990,15.52,0.53,0.56,0.3,123.34,4.46
indian,733,49.77,0.59,0.55,0.45,115.21,4
indie,134,34.35,0.58,0.64,0.49,120.82,3.52
indie-pop,601,39.56,0.61,0.55,0.47,120.46,3.34
industrial,845,32.47,0.54,0.85,0.43,126.8,4.22
iranian,988,2.22,0.3,0.54,0.15,114.62,5.33
